San_ID;San_Result;San_Description;San_Bread;San_Meat;San_Hated;San_Cooking
SAN1;Grilled Chicken and Spinach Baguette;Instead of tomato, you get spinach instead!;Baguette;Chicken;Tomato;Grilled
SAN2;Pressed Chicken and Pesto Baguette;Pesto chicken tastes better when its in a baguette, and pressed.;Baguette;Chicken;Tomato;Pressed
SAN3;Chicken Mayo Baguette;Its nice and creamy.;Baguette;Chicken;Tomato;Cold
SAN4;Oven Baked Chicken Baguette;Toasty, crispy baguette makes the chicken all the more fantastic.;Baguette;Chicken;Tomato;Oven Bake
SAN5;Grilled Chicken and Tomato Baguette;Its absolutely mind-blowingly good. Is it the baguette?;Baguette;Chicken;Lettuce;Grilled
SAN6;Pressed Chicken and Pesto Baguette;Pesto chicken tastes better when its in a baguette, and pressed.;Baguette;Chicken;Lettuce;Pressed
SAN7;Chicken Mayo Baguette;Its nice and creamy.;Baguette;Chicken;Lettuce;Cold
SAN8;Oven Baked Chicken Baguette;Toasty, crispy baguette makes the chicken all the more fantastic.;Baguette;Chicken;Lettuce;Oven Bake
SAN9;Grilled Chicken Baguette with Pesto;What happened to a pesto chicken baguette in custody? Its grilled.;Baguette;Chicken;Cheese;Grilled
SAN10;Pressed Chicken and Pesto Baguette;Pesto chicken tastes better when its in a baguette, and pressed.;Baguette;Chicken;Cheese;Pressed
SAN11;Chicken Mayo Baguette;Its nice and creamy.;Baguette;Chicken;Cheese;Cold
SAN12;Oven Baked Chicken Pesto Baguette;Toasty, crispy baguette makes the chicken all the more fantastic.;Baguette;Chicken;Cheese;Oven Bake
SAN13;Grilled Chicken and Tomato Baguette;Its absolutely mind-blowingly good. Is it the baguette?;Baguette;Chicken;Egg;Grilled
SAN14;Pressed Chicken and Pesto Baguette;Pesto chicken tastes better when its in a baguette, and pressed.;Baguette;Chicken;Egg;Pressed
SAN15;Chicken Mayo Baguette;Its nice and creamy.;Baguette;Chicken;Egg;Cold
SAN16;Oven Baked Chicken Baguette;Toasty, crispy baguette makes the chicken all the more fantastic.;Baguette;Chicken;Egg;Oven Bake
